Location,BRFSS,TimeFrame,DataType,Data
Allen,County,2011-2012,Percent,0.2527
Allen,County Group,2011-2012,Percent,0.1532
Anderson,County,2011-2012,Percent,0.1845
Anderson,County Group,2011-2012,Percent,0.1389
Ballard,County,2011-2012,Percent,0.1219
Ballard,County Group,2011-2012,Percent,0.1081
Barren,County,2011-2012,Percent,0.112
Barren,County Group,2011-2012,Percent,0.1532
Bath,County,2011-2012,Percent,0.1294
Bath,County Group,2011-2012,Percent,0.188
Bell,County,2011-2012,Percent,0.2028
Bell,County Group,2011-2012,Percent,0.197
Boone,County,2011-2012,Percent,0.1119
Boone,County Group,2011-2012,Percent,0.1119
Bourbon,County,2011-2012,Percent,
Bourbon,County Group,2011-2012,Percent,0.1401
Boyd,County,2011-2012,Percent,0.1911
Boyd,County Group,2011-2012,Percent,0.1911
Boyle,County,2011-2012,Percent,0.0946
Boyle,County Group,2011-2012,Percent,0.1568
Bracken,County,2011-2012,Percent,0.1487
Bracken,County Group,2011-2012,Percent,0.1179
Breathitt,County,2011-2012,Percent,0.1467
Breathitt,County Group,2011-2012,Percent,0.1654
Breckinridge,County,2011-2012,Percent,0.135
Breckinridge,County Group,2011-2012,Percent,0.1953
Bullitt,County,2011-2012,Percent,0.1714
Bullitt,County Group,2011-2012,Percent,0.1748
Butler,County,2011-2012,Percent,0.2118
Butler,County Group,2011-2012,Percent,0.1946
Caldwell,County,2011-2012,Percent,0.1493
Caldwell,County Group,2011-2012,Percent,0.102
Calloway,County,2011-2012,Percent,0.0971
Calloway,County Group,2011-2012,Percent,0.1081
Campbell,County,2011-2012,Percent,0.1636
Campbell,County Group,2011-2012,Percent,0.1636
Carlisle,County,2011-2012,Percent,
Carlisle,County Group,2011-2012,Percent,0.1081
Carroll,County,2011-2012,Percent,
Carroll,County Group,2011-2012,Percent,0.1785
Carter,County,2011-2012,Percent,0.1363
Carter,County Group,2011-2012,Percent,0.1554
Casey,County,2011-2012,Percent,0.2296
Casey,County Group,2011-2012,Percent,0.186
Christian,County,2011-2012,Percent,0.1315
Christian,County Group,2011-2012,Percent,0.1163
Clark,County,2011-2012,Percent,0.1584
Clark,County Group,2011-2012,Percent,0.1401
Clay,County,2011-2012,Percent,0.229
Clay,County Group,2011-2012,Percent,0.197
Clinton,County,2011-2012,Percent,0.1035
Clinton,County Group,2011-2012,Percent,0.186
Crittenden,County,2011-2012,Percent,0.0938
Crittenden,County Group,2011-2012,Percent,0.102
Cumberland,County,2011-2012,Percent,
Cumberland,County Group,2011-2012,Percent,0.186
Daviess,County,2011-2012,Percent,0.0807
Daviess,County Group,2011-2012,Percent,0.0807
Edmonson,County,2011-2012,Percent,0.1822
Edmonson,County Group,2011-2012,Percent,0.1532
Elliott,County,2011-2012,Percent,0.2152
Elliott,County Group,2011-2012,Percent,0.188
Estill,County,2011-2012,Percent,
Estill,County Group,2011-2012,Percent,0.1076
Fayette,County,2011-2012,Percent,0.1618
Fayette,County Group,2011-2012,Percent,0.1618
Fleming,County,2011-2012,Percent,0.0989
Fleming,County Group,2011-2012,Percent,0.1242
Floyd,County,2011-2012,Percent,0.1944
Floyd,County Group,2011-2012,Percent,0.1944
Franklin,County,2011-2012,Percent,0.1641
Franklin,County Group,2011-2012,Percent,0.1389
Fulton,County,2011-2012,Percent,
Fulton,County Group,2011-2012,Percent,0.1081
Gallatin,County,2011-2012,Percent,
Gallatin,County Group,2011-2012,Percent,0.1179
Garrard,County,2011-2012,Percent,
Garrard,County Group,2011-2012,Percent,0.1568
Grant,County,2011-2012,Percent,0.1637
Grant,County Group,2011-2012,Percent,0.1179
Graves,County,2011-2012,Percent,0.1372
Graves,County Group,2011-2012,Percent,0.1081
Grayson,County,2011-2012,Percent,0.2262
Grayson,County Group,2011-2012,Percent,0.1946
Green,County,2011-2012,Percent,0.185
Green,County Group,2011-2012,Percent,0.186
Greenup,County,2011-2012,Percent,0.1492
Greenup,County Group,2011-2012,Percent,0.1492
Hancock,County,2011-2012,Percent,0.1855
Hancock,County Group,2011-2012,Percent,0.1953
Hardin,County,2011-2012,Percent,0.1418
Hardin,County Group,2011-2012,Percent,0.1418
Harlan,County,2011-2012,Percent,0.1901
Harlan,County Group,2011-2012,Percent,0.197
Harrison,County,2011-2012,Percent,0.1571
Harrison,County Group,2011-2012,Percent,0.1242
Hart,County,2011-2012,Percent,0.1524
Hart,County Group,2011-2012,Percent,0.1946
Henderson,County,2011-2012,Percent,0.1774
Henderson,County Group,2011-2012,Percent,0.1534
Henry,County,2011-2012,Percent,
Henry,County Group,2011-2012,Percent,0.1785
Hickman,County,2011-2012,Percent,
Hickman,County Group,2011-2012,Percent,0.1081
Hopkins,County,2011-2012,Percent,0.1346
Hopkins,County Group,2011-2012,Percent,0.158
Jackson,County,2011-2012,Percent,0.1801
Jackson,County Group,2011-2012,Percent,0.1654
Jefferson,County,2011-2012,Percent,0.16
Jefferson,County Group,2011-2012,Percent,0.16
Jessamine,County,2011-2012,Percent,0.0917
Jessamine,County Group,2011-2012,Percent,0.1401
Johnson,County,2011-2012,Percent,0.1465
Johnson,County Group,2011-2012,Percent,0.193
Kenton,County,2011-2012,Percent,0.1606
Kenton,County Group,2011-2012,Percent,0.1606
Knott,County,2011-2012,Percent,0.1598
Knott,County Group,2011-2012,Percent,0.1598
Knox,County,2011-2012,Percent,0.1715
Knox,County Group,2011-2012,Percent,0.197
Larue,County,2011-2012,Percent,0.2681
Larue,County Group,2011-2012,Percent,0.1568
Laurel,County,2011-2012,Percent,0.1658
Laurel,County Group,2011-2012,Percent,0.1658
Lawrence,County,2011-2012,Percent,0.2484
Lawrence,County Group,2011-2012,Percent,0.193
Lee,County,2011-2012,Percent,0.2081
Lee,County Group,2011-2012,Percent,0.1654
Leslie,County,2011-2012,Percent,0.1787
Leslie,County Group,2011-2012,Percent,0.2005
Letcher,County,2011-2012,Percent,0.1597
Letcher,County Group,2011-2012,Percent,0.1598
Lewis,County,2011-2012,Percent,0.1876
Lewis,County Group,2011-2012,Percent,0.1554
Lincoln,County,2011-2012,Percent,0.1102
Lincoln,County Group,2011-2012,Percent,0.186
Livingston,County,2011-2012,Percent,0.1647
Livingston,County Group,2011-2012,Percent,0.102
Logan,County,2011-2012,Percent,0.2047
Logan,County Group,2011-2012,Percent,0.1837
Lyon,County,2011-2012,Percent,
Lyon,County Group,2011-2012,Percent,0.102
Madison,County,2011-2012,Percent,0.162
Madison,County Group,2011-2012,Percent,0.1401
Magoffin,County,2011-2012,Percent,0.1513
Magoffin,County Group,2011-2012,Percent,0.1654
Marion,County,2011-2012,Percent,0.1667
